Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3773
design__inferred_latch__count,0
design__instance__count,70836
design__instance__area,1.16933E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,1
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.05678851157426834
power__switching__total,0.01679675467312336
power__leakage__total,0.000009696640518086497
power__total,0.07359495759010315
clock__skew__worst_hold__corner:nom_tt_025C_5v00,1.6020240032445159
clock__skew__worst_setup__corner:nom_tt_025C_5v00,2.102023947733363
timing__hold__ws__corner:nom_tt_025C_5v00,0.28145708782497203
timing__setup__ws__corner:nom_tt_025C_5v00,24.97308386325205
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.281457
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,43.774773
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,2
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,1
design__max_cap_violation__count__corner:nom_ss_125C_4v50,0
clock__skew__worst_hold__corner:nom_ss_125C_4v50,3.0892114185553132
clock__skew__worst_setup__corner:nom_ss_125C_4v50,3.5892114740664662
timing__hold__ws__corner:nom_ss_125C_4v50,0.7774785479925558
timing__setup__ws__corner:nom_ss_125C_4v50,21.15256651929196
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.777479
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,38.843021
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,1
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,0
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,0.9351252259442697
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,1.4351252814554225
timing__hold__ws__corner:nom_ff_n40C_5v50,0.06884670806096324
timing__setup__ws__corner:nom_ff_n40C_5v50,26.696558608286548
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.068847
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,45.980331
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,4
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,3.1558039297233247
clock__skew__worst_setup,1.4186288101328726
timing__hold__ws,0.06666845042504335
timing__setup__ws,20.94383037390425
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.066668
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,38.391457
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1117.5 1117.5
design__core__bbox,16.24 19.6 1100.96 1097.6
design__io,22
design__die__area,1.24881E+6
design__core__area,1.16933E+6
design__instance__count__stdcell,45622
design__instance__area__stdcell,1.01227E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.865684
design__instance__utilization__stdcell,0.865684
design__rows,275
design__rows:GF018hv5v_mcu_sc7,275
design__sites,532675
design__sites:GF018hv5v_mcu_sc7,532675
design__instance__count__class:tie_cell,8
design__instance__area__class:tie_cell,70.2464
design__instance__count__class:buffer,1940
design__instance__area__class:buffer,35470
design__instance__count__class:inverter,2946
design__instance__area__class:inverter,26443.4
design__instance__count__class:clock_gate_cell,4
design__instance__area__class:clock_gate_cell,245.862
design__instance__count__class:sequential_cell,5587
design__instance__area__class:sequential_cell,372936
design__instance__count__class:multi_input_combinational_cell,23367
design__instance__area__class:multi_input_combinational_cell,418763
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,18
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,550
design__instance__area__class:endcap_cell,2414.72
design__instance__count__class:tap_cell,7619
design__instance__area__class:tap_cell,33450.5
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
floorplan__design__io,20
design__io__hpwl,20307318
flow__warnings__count:GRT-0281,5
design__max_slew_violation__count__corner:max_ss_125C_4v50,4
design__max_fanout_violation__count__corner:max_ss_125C_4v50,1
design__max_cap_violation__count__corner:max_ss_125C_4v50,0
clock__skew__worst_hold__corner:max_ss_125C_4v50,3.1558039297233247
clock__skew__worst_setup__corner:max_ss_125C_4v50,3.6558039852344772
timing__hold__ws__corner:max_ss_125C_4v50,0.7756928652292461
timing__setup__ws__corner:max_ss_125C_4v50,20.94383037390425
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.775693
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,38.391457
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,107721
design__instance__displacement__mean,2.3615
design__instance__displacement__max,178.64
route__wirelength__estimated,1.84688E+6
design__violations,0
