Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3842
design__inferred_latch__count,0
design__instance__count,99604
design__instance__area,1.50336E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,1
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.07341520488262177
power__switching__total,0.021936040371656418
power__leakage__total,0.000012323735973041039
power__total,0.0953635722398758
clock__skew__worst_hold__corner:nom_tt_025C_5v00,1.7993149701699718
clock__skew__worst_setup__corner:nom_tt_025C_5v00,2.299315025681125
timing__hold__ws__corner:nom_tt_025C_5v00,0.2921651892003274
timing__setup__ws__corner:nom_tt_025C_5v00,24.9010845658012
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.292165
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,43.836216
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,0
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,1
design__max_cap_violation__count__corner:nom_ss_125C_4v50,0
clock__skew__worst_hold__corner:nom_ss_125C_4v50,3.4233030712433465
clock__skew__worst_setup__corner:nom_ss_125C_4v50,3.9233031267544995
timing__hold__ws__corner:nom_ss_125C_4v50,0.7959122475255626
timing__setup__ws__corner:nom_ss_125C_4v50,21.017506552258922
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.795912
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,39.026443
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,1
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,0
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,1.0721906999057087
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,1.5721907554168615
timing__hold__ws__corner:nom_ff_n40C_5v50,0.07765366347518246
timing__setup__ws__corner:nom_ff_n40C_5v50,26.646863247942008
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.077654
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,45.972000
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,3.48320449009731
clock__skew__worst_setup,1.553526906644341
timing__hold__ws,0.07716494328592052
timing__setup__ws,20.835575632335868
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.077165
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,38.543205
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1261.6 1261.6
design__core__bbox,16.24 19.6 1245.44 1242.64
design__io,22
design__die__area,1.59163E+6
design__core__area,1.50336E+6
design__instance__count__stdcell,56463
design__instance__area__stdcell,1.16988E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.778176
design__instance__utilization__stdcell,0.778176
design__rows,312
design__rows:GF018hv5v_mcu_sc7,312
design__sites,684840
design__sites:GF018hv5v_mcu_sc7,684840
design__instance__count__class:tie_cell,9
design__instance__area__class:tie_cell,79.0272
design__instance__count__class:buffer,2532
design__instance__area__class:buffer,36839.8
design__instance__count__class:inverter,3284
design__instance__area__class:inverter,29367.4
design__instance__count__class:clock_gate_cell,5
design__instance__area__class:clock_gate_cell,307.328
design__instance__count__class:sequential_cell,6910
design__instance__area__class:sequential_cell,458652
design__instance__count__class:multi_input_combinational_cell,29637
design__instance__area__class:multi_input_combinational_cell,457664
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,18
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,624
design__instance__area__class:endcap_cell,2739.61
design__instance__count__class:tap_cell,9738
design__instance__area__class:tap_cell,42753.7
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
floorplan__design__io,20
design__io__hpwl,18140200
flow__warnings__count:GRT-0281,6
design__max_slew_violation__count__corner:max_ss_125C_4v50,0
design__max_fanout_violation__count__corner:max_ss_125C_4v50,1
design__max_cap_violation__count__corner:max_ss_125C_4v50,0
clock__skew__worst_hold__corner:max_ss_125C_4v50,3.48320449009731
clock__skew__worst_setup__corner:max_ss_125C_4v50,3.9832045456084626
timing__hold__ws__corner:max_ss_125C_4v50,0.7976375341546246
timing__setup__ws__corner:max_ss_125C_4v50,20.835575632335868
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.797638
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,38.543205
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,14319.8
design__instance__displacement__mean,0.2535
design__instance__displacement__max,31.36
route__wirelength__estimated,2.17189E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2232
