Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3917
design__inferred_latch__count,0
design__instance__count,127705
design__instance__area,2.07935E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_5v00,0
design__max_fanout_violation__count__corner:nom_tt_025C_5v00,4
design__max_cap_violation__count__corner:nom_tt_025C_5v00,0
power__internal__total,0.08890556544065475
power__switching__total,0.02680089883506298
power__leakage__total,0.000015392062778118998
power__total,0.11572185903787613
clock__skew__worst_hold__corner:nom_tt_025C_5v00,1.7801340905202605
clock__skew__worst_setup__corner:nom_tt_025C_5v00,2.2801341460314135
timing__hold__ws__corner:nom_tt_025C_5v00,0.24510905110456646
timing__setup__ws__corner:nom_tt_025C_5v00,24.82422160318652
timing__hold__tns__corner:nom_tt_025C_5v00,0.0
timing__setup__tns__corner:nom_tt_025C_5v00,0.0
timing__hold__wns__corner:nom_tt_025C_5v00,0
timing__setup__wns__corner:nom_tt_025C_5v00,0.0
timing__hold_vio__count__corner:nom_tt_025C_5v00,0
timing__hold_r2r__ws__corner:nom_tt_025C_5v00,0.245109
timing__hold_r2r_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_vio__count__corner:nom_tt_025C_5v00,0
timing__setup_r2r__ws__corner:nom_tt_025C_5v00,44.419437
timing__setup_r2r_vio__count__corner:nom_tt_025C_5v00,0
design__max_slew_violation__count__corner:nom_ss_125C_4v50,0
design__max_fanout_violation__count__corner:nom_ss_125C_4v50,4
design__max_cap_violation__count__corner:nom_ss_125C_4v50,0
clock__skew__worst_hold__corner:nom_ss_125C_4v50,3.3410830603387356
clock__skew__worst_setup__corner:nom_ss_125C_4v50,3.8410831158498886
timing__hold__ws__corner:nom_ss_125C_4v50,0.7126246461302786
timing__setup__ws__corner:nom_ss_125C_4v50,20.902682842912654
timing__hold__tns__corner:nom_ss_125C_4v50,0.0
timing__setup__tns__corner:nom_ss_125C_4v50,0.0
timing__hold__wns__corner:nom_ss_125C_4v50,0
timing__setup__wns__corner:nom_ss_125C_4v50,0.0
timing__hold_vio__count__corner:nom_ss_125C_4v50,0
timing__hold_r2r__ws__corner:nom_ss_125C_4v50,0.712625
timing__hold_r2r_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_vio__count__corner:nom_ss_125C_4v50,0
timing__setup_r2r__ws__corner:nom_ss_125C_4v50,39.973858
timing__setup_r2r_vio__count__corner:nom_ss_125C_4v50,0
design__max_slew_violation__count__corner:nom_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:nom_ff_n40C_5v50,4
design__max_cap_violation__count__corner:nom_ff_n40C_5v50,0
clock__skew__worst_hold__corner:nom_ff_n40C_5v50,1.0783383380338327
clock__skew__worst_setup__corner:nom_ff_n40C_5v50,1.5783383935449855
timing__hold__ws__corner:nom_ff_n40C_5v50,0.04678901842848149
timing__setup__ws__corner:nom_ff_n40C_5v50,26.594528221259463
timing__hold__tns__corner:nom_ff_n40C_5v50,0.0
timing__setup__tns__corner:nom_ff_n40C_5v50,0.0
timing__hold__wns__corner:nom_ff_n40C_5v50,0
timing__setup__wns__corner:nom_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:nom_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:nom_ff_n40C_5v50,0.046789
timing__hold_r2r_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_vio__count__corner:nom_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:nom_ff_n40C_5v50,46.401520
timing__setup_r2r_vio__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,4
design__max_cap_violation__count,0
clock__skew__worst_hold,3.469464591600563
clock__skew__worst_setup,1.5372061836315596
timing__hold__ws,0.045227600722488756
timing__setup__ws,20.644745164395722
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.045228
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,39.549564
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1477.7 1477.7
design__core__bbox,16.24 19.6 1461.6 1458.24
design__io,22
design__die__area,2.1836E+6
design__core__area,2.07935E+6
design__instance__count__stdcell,68048
design__instance__area__stdcell,1.43789E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.691509
design__instance__utilization__stdcell,0.691509
design__rows,367
design__rows:GF018hv5v_mcu_sc7,367
design__sites,947227
design__sites:GF018hv5v_mcu_sc7,947227
design__instance__count__class:tie_cell,10
design__instance__area__class:tie_cell,87.808
design__instance__count__class:buffer,2804
design__instance__area__class:buffer,44887.4
design__instance__count__class:inverter,3658
design__instance__area__class:inverter,33011.4
design__instance__count__class:clock_gate_cell,6
design__instance__area__class:clock_gate_cell,368.794
design__instance__count__class:sequential_cell,8233
design__instance__area__class:sequential_cell,544368
design__instance__count__class:multi_input_combinational_cell,34294
design__instance__area__class:multi_input_combinational_cell,575063
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:IFP-0028,1
flow__warnings__count:ODB-0220,18
flow__warnings__count:ORD-2001,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,734
design__instance__area__class:endcap_cell,3222.55
design__instance__count__class:tap_cell,13472
design__instance__area__class:tap_cell,59147.5
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
floorplan__design__io,20
design__io__hpwl,21405296
flow__warnings__count:GRT-0281,7
design__max_slew_violation__count__corner:max_ss_125C_4v50,0
design__max_fanout_violation__count__corner:max_ss_125C_4v50,4
design__max_cap_violation__count__corner:max_ss_125C_4v50,0
clock__skew__worst_hold__corner:max_ss_125C_4v50,3.469464591600563
clock__skew__worst_setup__corner:max_ss_125C_4v50,3.9694644250671045
timing__hold__ws__corner:max_ss_125C_4v50,0.7081704312295087
timing__setup__ws__corner:max_ss_125C_4v50,20.644745164395722
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,0.708170
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,39.549564
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,14254.8
design__instance__displacement__mean,0.2095
design__instance__displacement__max,23.52
route__wirelength__estimated,2.67757E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2872
