net,length_um
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,1.60711mm
clknet_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,1.48317mm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,1.37075mm
clknet_0_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,1.2607mm
clk_i,1.1643mm
clknet_0_clk_i_regs,1.04551mm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[1\]\[5\],932.55µm
net410,910.7µm
_07345_,907.86µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[5\]\[3\],901.39µm
_07065_,900.56µm
_24165_,868.75µm
_24219_,856.79µm
_24202_,793.82µm
_14202_,789.44µm
_24586_,783.43µm
_24152_,782.89µm
_24167_,782.67µm
_24110_,779.71µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[0\]\[8\],772.63µm
_26465_,767.73µm
_07064_,767.58µm
net1469,748.92µm
_24175_,740.21µm
_24941_,725.14µm
_26368_,725.08µm
_24114_,721.89µm
_06731_,721.17µm
_24169_,719.34µm
_23006_,716.13µm
net819,707.77µm
net635,703.15µm
_13975_,701.47µm
_24121_,700.55µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[2\]\[3\],694.16µm
_06980_,678.74µm
net1458,676.58µm
_24907_,670.55µm
_24194_,669.45µm
_24879_,669.28µm
_26112_,667.46µm
_10387_,666.55µm
net608,663.7µm
net1709,663.7µm
_24734_,659.47µm
net866,656.18µm
_24124_,653.77µm
_24232_,650.92µm
net1108,650.54µm
net381,648.27µm
net1710,647.36µm
net843,646.87µm
_26265_,646.26µm
_24215_,643.18µm
_24149_,642.62µm
net795,639.43µm
_24336_,639.16µm
net395,638.51µm
_24322_,637.46µm
net875,637.02µm
net557,636.56µm
net746,635.49µm
net839,631.37µm
net1480,630.51µm
net1081,630.25µm
net600,629.23µm
_23010_,627.29µm
_10523_,622.26µm
net836,618.64µm
_10529_,618.29µm
net732,617.5µm
_26213_,617.49µm
net840,616.1µm
_14154_,615.28µm
net813,615.23µm
net588,614.34µm
net1272,613.95µm
clknet_4_0_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,611.87µm
_06891_,610.43µm
net615,610.39µm
_13980_,609.97µm
_13922_,608.56µm
net1755,608.16µm
net408,606.9µm
net551,606.22µm
net558,605.66µm
_24189_,605.61µm
net1727,604.78µm
net756,603.83µm
_24838_,603.24µm
_10564_,601.69µm
_24161_,601.63µm
_14115_,601.31µm
_24362_,601.28µm
net1723,601.18µm
_24584_,600.62µm
net793,599.55µm
net725,598.48µm
_24208_,597.82µm
net1271,596.96µm
net586,596.7µm
net448,596.69µm
net880,595.42µm
_14235_,594.44µm
net634,594.26µm
net550,592.73µm
net1492,592.73µm
net1491,592.68µm
net727,592.07µm
net790,591.61µm
net872,591.15µm
_24101_,589.67µm
net319,588.25µm
net849,587.33µm
_06892_,585.86µm
net406,585.66µm
net760,585.5µm
net654,585.04µm
_07212_,584.08µm
net591,583.92µm
net587,583.72µm
_05609_,583.36µm
net623,582.87µm
net393,582.7µm
net871,582.39µm
net807,581.57µm
net1277,581.22µm
net296,581.17µm
net660,580.46µm
net881,580.42µm
net556,580.28µm
net320,578.77µm
net527,578.73µm
net575,578.53µm
_14033_,578.25µm
net772,577.95µm
net362,577.94µm
_13923_,577.29µm
net520,574.4µm
net488,574.25µm
net616,573.03µm
net859,571.7µm
net639,571.59µm
net802,571.55µm
net617,571.48µm
net673,571.45µm
_13970_,571.04µm
net594,570.79µm
net679,570.74µm
net633,570.6µm
net346,569.92µm
_24225_,569.77µm
net1753,569.26µm
net284,569.14µm
net601,568.8µm
net686,568.14µm
net657,567.07µm
net757,566.87µm
net347,566.81µm
net877,565.43µm
_24237_,565.29µm
net1270,565.14µm
net571,564.73µm
net747,564.53µm
net592,563.91µm
net405,563.81µm
net570,563.61µm
net628,563.55µm
net478,563.46µm
net831,563.4µm
net470,563.1µm
net780,562.8µm
net563,562.79µm
net745,562.35µm
net361,562.3µm
net502,562.18µm
net676,561.94µm
_26401_,560.63µm
net576,559.94µm
net678,559.79µm
net1276,559.49µm
net308,559.18µm
net768,559.18µm
_24253_,559.13µm
net869,559.03µm
net391,559.01µm
net316,557.15µm
net610,557.06µm
_24210_,555.92µm
net345,555.26µm
net828,555.21µm
net580,554.83µm
_05994_,554.73µm
net523,554.57µm
net885,553.94µm
net873,553.02µm
clknet_1_1__leaf_clk_i,552.97µm
net1470,552.77µm
net574,551.9µm
net773,551.9µm
net1030,551.72µm
net809,551.08µm
_25199_,550.88µm
net313,550.63µm
net735,550.27µm
_22988_,550µm
net390,549.2µm
net521,549.15µm
net582,549.05µm
net553,548.95µm
net299,548.72µm
net306,548.13µm
net753,548.08µm
net286,547.88µm
net883,546.96µm
net816,546.66µm
net1762,546.66µm
net307,546.16µm
net748,546.15µm
net522,545.74µm
net609,545.73µm
_05685_,545.69µm
net310,545.66µm
_25896_,545.38µm
net285,544.26µm
net739,544.06µm
net629,543.45µm
net604,543.1µm
net1619,542.8µm
net653,542.78µm
net767,542.48µm
net789,542.02µm
net736,541.16µm
net782,541µm
_10555_,540.65µm
_06890_,540.61µm
net751,540.14µm
net844,540.14µm
_10569_,539.8µm
net625,539.68µm
net698,539.53µm
net656,539.48µm
_25097_,539.17µm
net288,538.97µm
_24144_,538.51µm
net1692,538.48µm
net278,538.05µm
net766,537.71µm
net283,537.53µm
_24105_,537.42µm
_24790_,537.34µm
net661,537.29µm
net528,537.28µm
net861,536.9µm
net622,536.83µm
net315,536.26µm
net778,536.12µm
net409,535.96µm
net749,535.41µm
net825,535.15µm
net302,535µm
net1299,534.59µm
_14083_,534.29µm
net318,533.93µm
net603,533.88µm
net758,533.32µm
_06879_,533.08µm
net450,532.81µm
net824,532.81µm
net321,532.35µm
net1756,532.15µm
_24207_,531.58µm
net761,531.35µm
_05601_,531.29µm
net810,531.13µm
net754,531.08µm
net764,530.62µm
net271,530.57µm
net449,530.57µm
net480,530.47µm
net818,530.25µm
_24118_,530.21µm
net565,530.21µm
net632,530.11µm
net814,529.96µm
net487,529.89µm
net750,529.4µm
net702,528.48µm
_24293_,527.77µm
net356,527.71µm
net823,527.33µm
net392,526.68µm
net694,526.6µm
net309,526.55µm
net322,526.43µm
net613,525.99µm
net371,525.43µm
net269,525.33µm
net1473,525.2µm
net621,524.11µm
_24091_,523.91µm
net691,523.84µm
net701,523.2µm
net636,522.99µm
net584,522.74µm
net314,522.64µm
net1760,522.52µm
net317,522.27µm
_24802_,521.94µm
net350,521.62µm
net561,521.46µm
_04635_,521.25µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.tdu_i.task_mem\[5\]\[9\],520.22µm
_25992_,520.03µm
net481,520.03µm
net1505,519.18µm
net724,519.11µm
net277,518.76µm
net690,518.66µm
net328,518.1µm
_24083_,517.74µm
_25186_,517.33µm
net579,517.33µm
net700,517.28µm
net834,517.23µm
_10562_,516.73µm
clknet_4_1_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,516.57µm
_24159_,516.47µm
net649,516.21µm
net1650,516.17µm
net311,515.6µm
net626,515.51µm
net685,515.5µm
net696,514.79µm
net275,513.56µm
net743,513.44µm
net710,513.16µm
net1457,513.11µm
_24196_,512.95µm
net529,512.8µm
_10615_,512.58µm
net658,512.29µm
net274,512.18µm
net577,511.72µm
net624,511.58µm
net842,511.58µm
net572,511.22µm
_06736_,510.56µm
net822,510.28µm
net771,510.09µm
net301,509.85µm
net619,509.54µm
_26129_,508.57µm
net1468,508.41µm
_24810_,508.36µm
_10509_,508.23µm
net305,507.63µm
net547,507.25µm
net788,507.15µm
net695,506.71µm
net855,506.65µm
net879,506.49µm
_05909_,506.34µm
_24127_,506.13µm
_10516_,505.98µm
_22991_,505.42µm
net664,505.42µm
net681,505.29µm
net1522,504.96µm
net598,504.91µm
net1024,504.71µm
net787,504.54µm
net566,504.25µm
net835,504.25µm
net273,504.05µm
net738,503.18µm
net891,501.19µm
net650,500.94µm
net801,500.94µm
_13962_,500.43µm
_24602_,500.43µm
_19489_,500.09µm
net858,499.82µm
net699,499.71µm
net663,499.46µm
net602,499.36µm
net581,499.21µm
net1490,499.18µm
net785,499.16µm
_05691_,499.11µm
net1494,498.79µm
net794,498.66µm
net272,498.55µm
net1472,498.31µm
_24627_,498.04µm
net1758,497.94µm
net352,497.24µm
net549,497.22µm
net578,497.19µm
net805,497.17µm
net826,497.12µm
net852,496.29µm
net812,494.66µm
net627,494.52µm
net853,493.89µm
net341,493.75µm
net803,493.61µm
net327,493.38µm
_24096_,493.21µm
net583,492.95µm
net821,492.83µm
_24618_,492.74µm
net961,492.14µm
net646,492.08µm
_04632_,491.5µm
_10567_,491.41µm
_24162_,490.96µm
net1033,490.59µm
net620,490.5µm
net708,490.4µm
_24678_,490.25µm
net652,490.25µm
_25798_,489.99µm
net837,489.94µm
_26145_,489.89µm
net659,489.74µm
net829,489.08µm
_24104_,489.06µm
net344,487.87µm
net689,487.73µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[16\],487.4µm
_24095_,487.04µm
_14124_,486.99µm
net366,486.89µm
net612,486.55µm
net759,486.48µm
net545,486.38µm
net268,485.94µm
net1696,485.72µm
net297,484.7µm
net593,484.65µm
net474,484.55µm
net886,483.43µm
net559,482.92µm
net763,482.88µm
_24781_,482.56µm
net848,482.56µm
net776,482.36µm
net329,482.23µm
net737,482.18µm
_25191_,482µm
_19247_,481.91µm
net611,481.8µm
_18999_,481.35µm
net655,481.29µm
net351,481.15µm
net377,481.01µm
clknet_4_5_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,480.68µm
_19335_,480.58µm
net1661,480.27µm
net1714,480.22µm
net1660,480.17µm
net1703,479.86µm
_24158_,479.76µm
net282,479.51µm
net838,478.9µm
net505,478.67µm
net567,478.59µm
net833,478.54µm
net644,478.52µm
net850,478.39µm
net733,478.11µm
net1649,477.99µm
net911,477.93µm
net472,477.85µm
_05947_,477.27µm
_26200_,477.01µm
_06747_,477µm
net884,476.6µm
net380,476.45µm
net365,476.35µm
_26205_,476.3µm
net1679,476.25µm
net605,475.64µm
net744,475.34µm
net846,474.17µm
