Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_273_1908,VSS,Metal1,1085.0000,1093.6800,0.000024
FILLER_273_1906,VSS,Metal1,1084.1600,1093.6800,0.000024
FILLER_273_1889,VSS,Metal1,1074.6400,1093.6800,0.000028
FILLER_273_1880,VSS,Metal1,1069.7800,1093.3310,0.000031
FILLER_273_1872,VSS,Metal1,1066.2930,1093.2180,0.000032
FILLER_273_1869,VSS,Metal1,1063.1600,1093.6800,0.000032
FILLER_273_1867,VSS,Metal1,1062.3200,1093.6800,0.000034
FILLER_273_1806,VSS,Metal1,1027.8800,1093.6800,0.000035
FILLER_273_1804,VSS,Metal1,1027.0400,1093.6800,0.000035
FILLER_273_1795,VSS,Metal1,1022.0000,1093.6800,0.000035
FILLER_273_1791,VSS,Metal1,1019.9400,1093.3310,0.000035
FILLER_273_1775,VSS,Metal1,1014.1120,1093.1320,0.000035
FILLER_273_1766,VSS,Metal1,1005.7600,1093.6800,0.000040
FILLER_273_1762,VSS,Metal1,1003.7000,1093.3310,0.000040
FILLER_273_1756,VSS,Metal1,999.8800,1093.6800,0.000045
FILLER_273_1752,VSS,Metal1,998.1000,1093.3310,0.000045
FILLER_273_1736,VSS,Metal1,992.2720,1093.1320,0.000047
FILLER_273_1733,VSS,Metal1,987.0000,1093.6800,0.000047
FILLER_273_1731,VSS,Metal1,986.1600,1093.6800,0.000051
FILLER_273_1668,VSS,Metal1,950.6000,1093.6800,0.000047
FILLER_273_1665,VSS,Metal1,948.9200,1093.6800,0.000047
FILLER_273_1663,VSS,Metal1,948.0800,1093.6800,0.000043
FILLER_273_1624,VSS,Metal1,927.4130,1093.2180,0.000040
FILLER_273_1600,VSS,Metal1,916.1120,1093.1320,0.000037
FILLER_273_1596,VSS,Metal1,910.5600,1093.6800,0.000037
FILLER_273_1582,VSS,Metal1,902.4400,1093.6800,0.000032
FILLER_273_1566,VSS,Metal1,897.0720,1093.1320,0.000032
FILLER_273_1543,VSS,Metal1,884.1920,1093.1320,0.000029
FILLER_273_1536,VSS,Metal1,876.9600,1093.6800,0.000027
FILLER_273_1532,VSS,Metal1,874.9000,1093.3310,0.000027
FILLER_273_1529,VSS,Metal1,872.7600,1093.6800,0.000025
FILLER_273_1498,VSS,Metal1,855.6800,1093.6800,0.000025
FILLER_273_1495,VSS,Metal1,853.7200,1093.6800,0.000025
FILLER_273_1493,VSS,Metal1,852.8800,1093.6800,0.000024
FILLER_273_1489,VSS,Metal1,850.8200,1093.3310,0.000024
FILLER_273_1480,VSS,Metal1,845.7800,1093.3310,0.000024
FILLER_273_1461,VSS,Metal1,834.6800,1093.6800,0.000023
FILLER_273_1459,VSS,Metal1,833.8400,1093.6800,0.000023
FILLER_273_1396,VSS,Metal1,801.8720,1093.1320,0.000019
FILLER_273_1378,VSS,Metal1,788.6600,1093.3310,0.000014
FILLER_273_1362,VSS,Metal1,782.8320,1093.1320,0.000014
FILLER_273_1359,VSS,Metal1,777.5600,1093.6800,0.000014
FILLER_273_1357,VSS,Metal1,776.7200,1093.6800,0.000013
FILLER_273_1341,VSS,Metal1,771.0720,1093.1320,0.000013
FILLER_273_1318,VSS,Metal1,754.6000,1093.6800,0.000012
FILLER_273_1314,VSS,Metal1,752.8200,1093.3310,0.000012
FILLER_273_1306,VSS,Metal1,749.3330,1093.2180,0.000011
FILLER_273_1294,VSS,Metal1,741.4400,1093.6800,0.000011
FILLER_273_1290,VSS,Metal1,739.2000,1093.6800,0.000010
FILLER_273_1274,VSS,Metal1,733.5520,1093.1320,0.000010
FILLER_273_1267,VSS,Metal1,726.3200,1093.6800,0.000010
FILLER_273_1260,VSS,Metal1,722.4000,1093.6800,0.000009
FILLER_273_1253,VSS,Metal1,718.2000,1093.6800,0.000009
FILLER_273_1249,VSS,Metal1,716.4200,1093.3310,0.000009
FILLER_273_1242,VSS,Metal1,712.0400,1093.6800,0.000008
FILLER_273_1240,VSS,Metal1,711.2000,1093.6800,0.000008
FILLER_273_1222,VSS,Metal1,701.1200,1093.6800,0.000008
FILLER_273_920,VSS,Metal1,532.1800,1093.3310,0.000002
FILLER_273_852,VSS,Metal1,501.6440,1093.0820,0.000002
FILLER_273_818,VSS,Metal1,482.6040,1093.0820,0.000002
