net,length_um
clknet_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,1.41114mm
net1278,1.31396mm
clk_i,1.22804mm
clknet_0_clk_i_regs,1.04638mm
_24219_,988.85µm
clknet_0_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,966.35µm
_24117_,955.05µm
_24202_,943.03µm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,931.58µm
_24194_,871.2µm
_05660_,848.13µm
net3,836.64µm
_06004_,824.52µm
net431,815.3µm
_05609_,797.59µm
_24225_,787.2µm
_24151_,786.84µm
net459,782.52µm
_24232_,779.77µm
_22991_,762.66µm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,762.36µm
_24941_,760.7µm
net449,757.34µm
_06402_,750.11µm
_24196_,749.17µm
net432,748.97µm
net471,745.66µm
_05608_,744.33µm
net438,744.08µm
net470,730.36µm
_24165_,727.33µm
_24896_,725.14µm
_10387_,720.97µm
_10516_,718.07µm
net472,713.28µm
_24907_,708.14µm
_24175_,702.13µm
_24207_,693.78µm
_24104_,691.19µm
net415,686.63µm
net1282,678.77µm
_24110_,671.18µm
_24322_,669.96µm
_24086_,666.8µm
_10562_,665.25µm
_24204_,655.09µm
_24350_,647.15µm
net475,646.95µm
net1683,640.69µm
net684,640.38µm
net623,635.95µm
net481,633.51µm
net584,631.47µm
net414,630.2µm
net318,629.34µm
_24114_,627.75µm
net1678,627.35µm
net836,626.99µm
net860,622.66µm
_13928_,621.6µm
_05606_,621.49µm
net815,621.29µm
net946,620.22µm
_24100_,620.12µm
_24734_,619.2µm
net628,617.88µm
net398,617.52µm
_26265_,616.35µm
net504,615.13µm
net880,611.92µm
net599,609.88µm
net834,609.53µm
_26331_,609.12µm
net416,607.34µm
net417,606.42µm
_24094_,606.32µm
net626,605.51µm
net1691,604.9µm
net688,604.64µm
_24838_,604.13µm
net709,601.84µm
net808,601.69µm
net647,600.62µm
net1451,600.11µm
net357,599.7µm
net624,599.4µm
net823,598.84µm
net669,595.48µm
net1684,592.48µm
net809,591.68µm
net673,591.4µm
net887,588.66µm
_23006_,588.5µm
net531,588.34µm
net740,587.93µm
net606,586.47µm
net1688,585.91µm
net452,585.86µm
net562,585.55µm
net1726,585.4µm
net869,584.33µm
net877,583.87µm
net750,583.41µm
_26429_,582.95µm
net476,581.99µm
_24149_,581.89µm
_26016_,581.63µm
_24222_,581.58µm
net579,580.46µm
net516,580.31µm
net350,579.17µm
net857,578.88µm
net737,578.61µm
net805,578.55µm
net821,578.22µm
net656,574.66µm
net692,574.47µm
net812,571.67µm
net294,571.45µm
net556,571.4µm
_18673_,571.35µm
net518,571.25µm
net588,570.38µm
net781,570.35µm
net447,569.67µm
net493,569.62µm
net376,569.46µm
net635,569.28µm
net800,569.14µm
net802,568.29µm
net838,568.09µm
_24169_,566.95µm
net883,566.66µm
_04634_,565.8µm
_25001_,564.83µm
net811,564.63µm
net739,564.32µm
net801,563.77µm
net532,563.25µm
net856,563.25µm
net348,563.1µm
net309,562.84µm
_24586_,562.44µm
net764,562.39µm
net1690,561.98µm
net714,560.4µm
net453,560.39µm
net864,560.25µm
net861,559.64µm
net643,559.59µm
net841,559.28µm
net859,559.23µm
net833,559.07µm
net572,558.04µm
net489,558.01µm
net680,557.14µm
net321,556.18µm
net652,556.07µm
_24161_,555.97µm
net310,555.43µm
net791,555.42µm
net810,555.26µm
net794,555.21µm
net410,555.01µm
net555,554.92µm
net311,554.85µm
net370,554.65µm
net881,554.29µm
net607,554.08µm
net863,554.04µm
net567,553.93µm
net776,553.93µm
net368,553.63µm
net322,553.58µm
net367,553.58µm
net655,553.17µm
net630,551.85µm
net571,551.34µm
_05685_,551.24µm
net638,551.03µm
net585,550.85µm
net665,550.83µm
net884,550.83µm
net754,550.27µm
net290,550.12µm
net499,549.46µm
net296,548.46µm
net761,548.08µm
net691,547.98µm
net533,547.55µm
net1460,547.03µm
net282,546.86µm
net604,546.81µm
net297,546.25µm
net1116,546.15µm
net328,546.13µm
net865,545.78µm
net412,545.13µm
net824,545.03µm
net615,544.67µm
net873,544.67µm
net276,544.01µm
net586,543.34µm
net557,542.02µm
net660,541.83µm
net515,541.77µm
net787,541.77µm
net590,541.26µm
net1458,541.16µm
net765,540.9µm
net663,540.85µm
net858,540.8µm
net683,540.34µm
net867,540.08µm
net286,539.95µm
_25913_,539.68µm
net798,539.68µm
net505,539.53µm
net814,539.53µm
_24158_,539.42µm
net568,539.38µm
net768,538.92µm
net308,538.36µm
net295,538.04µm
net786,537.7µm
net712,537.39µm
net842,537.29µm
net677,537.1µm
