net,length_um
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,1.67199mm
_23803_,1.32724mm
net347,1.27982mm
net884,1.21313mm
net989,1.19987mm
net349,1.17545mm
net365,1.16303mm
net1043,1.13995mm
net355,1.12583mm
clknet_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,1.10548mm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,1.10087mm
_23811_,1.09412mm
clknet_0_clk_i_regs,1.08156mm
net368,1.06421mm
net986,1.06129mm
net346,1.05939mm
net390,1.05906mm
clknet_3_2__leaf_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,1.05477mm
net981,1.04183mm
net405,1.04038mm
net408,1.03711mm
net388,1.01639mm
net348,1.01567mm
net389,1.00437mm
_23828_,996.18µm
clk_i,990.78µm
net677,978.67µm
net410,949.02µm
net352,943.1µm
_25299_,942.52µm
net403,934.99µm
net387,931µm
net407,926.57µm
net404,911.53µm
net897,900.32µm
net409,900.04µm
_14244_,888.61µm
_23802_,886.32µm
net351,862.04µm
_14239_,852.92µm
_14250_,851.9µm
net354,835.17µm
clknet_3_3__leaf_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,834.9µm
_04633_,816.42µm
net872,816.34µm
_22726_,814.49µm
_14356_,809.7µm
_04632_,808.83µm
_23904_,806.44µm
_14284_,789.47µm
net812,786.94µm
_25350_,776.25µm
_12516_,772.14µm
_25322_,768.49µm
net353,764.39µm
net678,762.82µm
_25346_,761.08µm
_23919_,757.47µm
net411,755.99µm
_23935_,753.75µm
net350,751.13µm
net694,750.39µm
clknet_3_0__leaf_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,748.05µm
_06371_,741.74µm
net699,740.85µm
_06098_,721µm
_05847_,719.47µm
net690,718.07µm
net1596,715.68µm
_14296_,705.49µm
_14290_,697.96µm
net1597,695.05µm
_14307_,690.37µm
net635,687.99µm
clknet_3_7__leaf_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,685.53µm
net682,684.59µm
net991,684.57µm
net683,681.36µm
_14279_,681.11µm
_14302_,678.56µm
clknet_4_15__leaf_clk_i_regs,677.39µm
clknet_2_0__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,674.94µm
_14312_,674.08µm
clknet_2_1__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,667.51µm
net530,665.82µm
_12318_,650.27µm
net1435,650.01µm
_23866_,648.11µm
_13784_,646.47µm
_11157_,646.3µm
_23849_,642.97µm
_25389_,640.39µm
_10601_,639.79µm
net1298,639.72µm
_25333_,639.66µm
_05789_,639.11µm
_05806_,637.99µm
_05726_,637.89µm
clknet_4_15__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,633.91µm
_23896_,631.26µm
_25375_,630.04µm
net469,628.11µm
_25330_,627.34µm
_13783_,624.02µm
net1048,622.42µm
clknet_3_4__leaf_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,620.88µm
net1216,620.73µm
_25392_,618.99µm
_05797_,618.54µm
_18544_,616.65µm
net2193,614.37µm
_14341_,609.78µm
_25396_,609.68µm
net1600,609.53µm
net1601,609.38µm
_23928_,608.25µm
i_core_v_mini_mcu.cpu_subsystem_i.hart_clock_enable_1_0,608.16µm
net1535,607.85µm
net693,603.37µm
_06750_,603.26µm
net684,601.69µm
_25378_,601.48µm
_14351_,601.42µm
net1030,600.49µm
_13802_,600.31µm
net1960,599.2µm
_05822_,598.84µm
net873,597.89µm
net1147,597.43µm
net950,596.14µm
_06347_,596.03µm
clknet_4_9__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,595.78µm
_27017_,593.9µm
net1181,593.21µm
_23916_,592.62µm
_17932_,588.61µm
_20643_,586.81µm
net956,585.87µm
net675,585.3µm
clknet_4_14__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,583.87µm
_13841_,583.72µm
_23886_,583.1µm
_23913_,582.75µm
clknet_4_8__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,581.93µm
net529,576.77µm
net1961,576.21µm
net1962,575.72µm
net808,575.04µm
net1346,574.61µm
_18575_,574.35µm
_18693_,571.5µm
_14005_,570.97µm
net1029,570.93µm
net1101,570.13µm
_18603_,569.31µm
_04636_,568.65µm
net475,567.02µm
clknet_4_2_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,565.64µm
net1434,565.28µm
net1076,564.53µm
net1996,563.49µm
_24692_,563.1µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[7\],562.03µm
_14346_,560.71µm
net6,559.91µm
_25506_,559.83µm
_25364_,559.02µm
_23878_,558.67µm
_14099_,558.41µm
_06934_,558.16µm
clknet_4_12__leaf_clk_i_regs,557.09µm
net1974,556.13µm
net480,555.54µm
clknet_4_13__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,555.46µm
net1,555.01µm
_25368_,554.54µm
net853,554.5µm
net1062,554.21µm
net1127,553.67µm
net1973,553.58µm
_25460_,552.66µm
net1172,551.62µm
_23881_,551.54µm
_05546_,551.13µm
net508,550.97µm
net472,550.94µm
net814,548.99µm
_18520_,547.98µm
net627,547.81µm
net2189,547.68µm
_24608_,547.62µm
_14023_,547.21µm
_06024_,547.06µm
net862,546.91µm
net1201,545.5µm
net459,543.51µm
net28,543.2µm
net961,543.02µm
_25343_,541.66µm
_13915_,540.98µm
net818,540.51µm
net1151,540.24µm
_23861_,539.73µm
_08586_,539.33µm
net746,537.8µm
net1092,536.81µm
net860,536.5µm
net933,536.07µm
net1099,536.04µm
clknet_4_5__leaf_clk_i_regs,534.64µm
clknet_2_3__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,534.56µm
net934,534.49µm
_18595_,534.23µm
net357,533.72µm
_18518_,533.32µm
net367,532.81µm
_13857_,532.48µm
net1068,531.85µm
_14004_,531.69µm
net63,531.29µm
clknet_4_10__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,530.92µm
net425,530.62µm
net894,528.9µm
clknet_4_14__leaf_clk_i_regs,528.53µm
net468,528.38µm
_09269_,527.92µm
net948,527.87µm
net1113,527.87µm
net1956,527.67µm
