Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_273_1911,VDD,Metal1,1086.9600,1089.7600,4.999974
FILLER_273_1835,VDD,Metal1,1044.1200,1089.7600,4.999973
FILLER_273_1833,VDD,Metal1,1043.2800,1089.7600,4.999973
FILLER_273_1804,VDD,Metal1,1027.0400,1089.7600,4.999973
FILLER_273_1774,VDD,Metal1,1009.9600,1089.7600,4.999974
FILLER_273_1767,VDD,Metal1,1006.0400,1089.7600,4.999974
FILLER_273_1765,VDD,Metal1,1005.2000,1089.7600,4.999974
FILLER_273_1741,VDD,Metal1,992.7000,1090.1925,4.999973
FILLER_273_1706,VDD,Metal1,971.8800,1089.7600,4.999973
FILLER_273_1702,VDD,Metal1,970.8600,1090.1925,4.999971
FILLER_273_1695,VDD,Metal1,965.7200,1089.7600,4.999971
FILLER_273_1665,VDD,Metal1,948.9200,1089.7600,4.999971
FILLER_273_1661,VDD,Metal1,947.9000,1090.1925,4.999971
FILLER_273_1627,VDD,Metal1,927.6400,1089.7600,4.999970
FILLER_273_1597,VDD,Metal1,910.8400,1089.7600,4.999970
FILLER_273_1563,VDD,Metal1,891.8000,1089.7600,4.999968
FILLER_273_1532,VDD,Metal1,875.6600,1090.1925,4.999967
FILLER_273_1514,VDD,Metal1,869.1680,1090.4520,4.999967
FILLER_273_1503,VDD,Metal1,858.4800,1089.7600,4.999968
FILLER_273_1495,VDD,Metal1,853.7200,1089.7600,4.999965
FILLER_273_1464,VDD,Metal1,836.6400,1089.7600,4.999965
FILLER_273_1461,VDD,Metal1,834.6800,1089.7600,4.999965
FILLER_273_1459,VDD,Metal1,833.8400,1089.7600,4.999965
FILLER_273_1398,VDD,Metal1,799.4000,1089.7600,4.999965
FILLER_273_1396,VDD,Metal1,798.5600,1089.7600,4.999966
FILLER_273_1393,VDD,Metal1,796.6000,1089.7600,4.999966
FILLER_273_1362,VDD,Metal1,779.2400,1089.7600,4.999966
FILLER_273_1343,VDD,Metal1,768.8800,1089.7600,4.999966
FILLER_273_1311,VDD,Metal1,750.6800,1089.7600,4.999965
FILLER_273_1309,VDD,Metal1,749.8400,1089.7600,4.999965
FILLER_273_1275,VDD,Metal1,730.5200,1089.7600,4.999967
FILLER_273_1240,VDD,Metal1,713.3865,1090.3365,4.999967
FILLER_273_1234,VDD,Metal1,707.5600,1089.7600,4.999967
FILLER_273_1223,VDD,Metal1,701.4000,1089.7600,4.999966
FILLER_273_1221,VDD,Metal1,700.5600,1089.7600,4.999966
FILLER_273_1208,VDD,Metal1,693.0000,1089.7600,4.999966
FILLER_273_1192,VDD,Metal1,688.8480,1090.4520,4.999966
FILLER_273_1189,VDD,Metal1,682.3600,1089.7600,4.999966
FILLER_273_1182,VDD,Metal1,678.7200,1089.7600,4.999966
FILLER_273_1174,VDD,Metal1,676.4265,1090.3365,4.999966
FILLER_273_1158,VDD,Metal1,669.8080,1090.4520,4.999966
FILLER_273_1155,VDD,Metal1,663.3200,1089.7600,4.999967
FILLER_273_1153,VDD,Metal1,662.4800,1089.7600,4.999967
FILLER_273_1149,VDD,Metal1,661.1800,1090.1925,4.999967
FILLER_273_1090,VDD,Metal1,629.3865,1090.3365,4.999968
FILLER_273_1087,VDD,Metal1,625.2400,1089.7600,4.999968
FILLER_273_1071,VDD,Metal1,621.0880,1090.4520,4.999967
FILLER_273_1053,VDD,Metal1,606.2000,1089.7600,4.999967
FILLER_273_1051,VDD,Metal1,605.3600,1089.7600,4.999967
FILLER_273_1030,VDD,Metal1,593.3200,1089.7600,4.999966
FILLER_273_1022,VDD,Metal1,591.3065,1090.3365,4.999966
FILLER_273_1018,VDD,Metal1,586.8800,1089.7600,4.999966
FILLER_273_1010,VDD,Metal1,584.5865,1090.3365,4.999966
FILLER_273_1001,VDD,Metal1,578.3000,1090.1925,4.999966
FILLER_273_995,VDD,Metal1,573.7200,1089.7600,4.999966
FILLER_273_993,VDD,Metal1,572.8800,1089.7600,4.999966
FILLER_273_985,VDD,Metal1,568.1200,1089.7600,4.999966
FILLER_273_969,VDD,Metal1,563.9680,1090.4520,4.999967
FILLER_273_963,VDD,Metal1,555.8000,1089.7600,4.999967
FILLER_273_959,VDD,Metal1,554.7800,1090.1925,4.999967
FILLER_273_951,VDD,Metal1,549.0800,1089.7600,4.999967
FILLER_273_947,VDD,Metal1,548.0600,1090.1925,4.999966
FILLER_273_920,VDD,Metal1,532.0000,1089.7600,4.999966
FILLER_273_917,VDD,Metal1,530.0400,1089.7600,4.999966
FILLER_273_911,VDD,Metal1,526.6800,1089.7600,4.999966
FILLER_273_901,VDD,Metal1,521.3600,1089.7600,4.999966
FILLER_273_878,VDD,Metal1,508.2000,1089.7600,4.999967
FILLER_273_870,VDD,Metal1,506.1865,1090.3365,4.999967
FILLER_273_852,VDD,Metal1,493.9200,1089.7600,4.999968
FILLER_273_834,VDD,Metal1,486.0265,1090.3365,4.999968
FILLER_273_818,VDD,Metal1,479.4080,1090.4520,4.999971
FILLER_273_812,VDD,Metal1,472.4600,1090.1925,4.999971
FILLER_273_804,VDD,Metal1,469.2265,1090.3365,4.999971
FILLER_273_798,VDD,Metal1,463.4000,1089.7600,4.999967
FILLER_273_796,VDD,Metal1,462.5600,1089.7600,4.999967
FILLER_273_792,VDD,Metal1,461.2600,1090.1925,4.999965
FILLER_273_784,VDD,Metal1,458.0265,1090.3365,4.999965
FILLER_273_754,VDD,Metal1,438.7600,1089.7600,4.999965
FILLER_273_743,VDD,Metal1,432.6000,1089.7600,4.999966
FILLER_273_713,VDD,Metal1,415.8000,1089.7600,4.999968
FILLER_273_711,VDD,Metal1,414.9600,1089.7600,4.999968
FILLER_273_687,VDD,Metal1,401.2400,1089.7600,4.999968
FILLER_273_682,VDD,Metal1,398.4400,1089.7600,4.999968
FILLER_273_667,VDD,Metal1,390.0400,1089.7600,4.999965
FILLER_273_659,VDD,Metal1,388.0265,1090.3365,4.999964
FILLER_273_652,VDD,Metal1,381.9200,1089.7600,4.999964
FILLER_273_648,VDD,Metal1,380.6200,1090.1925,4.999964
FILLER_273_645,VDD,Metal1,377.7200,1089.7600,4.999964
FILLER_273_641,VDD,Metal1,376.7000,1090.1925,4.999964
FILLER_273_610,VDD,Metal1,358.4000,1089.7600,4.999964
FILLER_273_595,VDD,Metal1,349.7200,1089.7600,4.999964
FILLER_273_593,VDD,Metal1,348.8800,1089.7600,4.999964
FILLER_273_586,VDD,Metal1,344.6800,1089.7600,4.999964
FILLER_273_584,VDD,Metal1,343.8400,1089.7600,4.999964
FILLER_273_550,VDD,Metal1,324.8000,1089.7600,4.999964
FILLER_273_546,VDD,Metal1,323.5000,1090.1925,4.999964
FILLER_273_528,VDD,Metal1,317.0080,1090.4520,4.999964
FILLER_273_522,VDD,Metal1,308.8400,1089.7600,4.999958
FILLER_273_520,VDD,Metal1,308.0000,1089.7600,4.999958
FILLER_273_501,VDD,Metal1,297.0800,1089.7600,4.999958
FILLER_273_499,VDD,Metal1,296.2400,1089.7600,4.999957
FILLER_273_478,VDD,Metal1,284.2000,1089.7600,4.999957
FILLER_273_441,VDD,Metal1,263.4800,1089.7600,4.999958
FILLER_273_407,VDD,Metal1,244.4400,1089.7600,4.999962
FILLER_273_385,VDD,Metal1,232.1200,1089.7600,4.999962
FILLER_273_383,VDD,Metal1,231.2800,1089.7600,4.999962
FILLER_273_376,VDD,Metal1,227.3600,1089.7600,4.999963
FILLER_273_364,VDD,Metal1,220.3600,1089.7600,4.999963
FILLER_273_362,VDD,Metal1,219.5200,1089.7600,4.999963
FILLER_273_358,VDD,Metal1,218.2200,1090.1925,4.999963
FILLER_273_352,VDD,Metal1,213.6400,1089.7600,4.999965
FILLER_273_350,VDD,Metal1,212.8000,1089.7600,4.999965
FILLER_273_344,VDD,Metal1,209.1600,1089.7600,4.999971
FILLER_273_342,VDD,Metal1,208.3200,1089.7600,4.999971
FILLER_273_334,VDD,Metal1,203.5600,1089.7600,4.999972
FILLER_273_332,VDD,Metal1,202.7200,1089.7600,4.999972
FILLER_273_296,VDD,Metal1,182.5600,1089.7600,4.999973
FILLER_273_288,VDD,Metal1,180.2665,1090.3365,4.999973
FILLER_273_270,VDD,Metal1,168.0000,1089.7600,4.999973
FILLER_273_234,VDD,Metal1,148.7800,1090.1925,4.999974
FILLER_273_206,VDD,Metal1,131.8800,1089.7600,4.999975
FILLER_273_196,VDD,Metal1,127.5000,1090.1925,4.999975
FILLER_273_180,VDD,Metal1,117.3200,1089.7600,4.999975
FILLER_273_172,VDD,Metal1,115.3065,1090.3365,4.999975
FILLER_273_129,VDD,Metal1,89.0400,1089.7600,4.999976
FILLER_273_104,VDD,Metal1,75.9800,1090.1925,4.999976
FILLER_273_70,VDD,Metal1,65.0755,1090.5285,4.999977
FILLER_273_66,VDD,Metal1,53.7600,1089.7600,4.999978
FILLER_272_1839,VDD,Metal1,1046.3600,1089.7600,4.999974
FILLER_272_1837,VDD,Metal1,1045.5200,1089.7600,4.999974
FILLER_272_1804,VDD,Metal1,1027.9800,1089.3275,4.999973
FILLER_272_1791,VDD,Metal1,1021.9465,1089.1830,4.999974
FILLER_272_1784,VDD,Metal1,1015.5600,1089.7600,4.999974
FILLER_272_1782,VDD,Metal1,1014.7200,1089.7600,4.999974
FILLER_272_1748,VDD,Metal1,995.4000,1089.7600,4.999973
FILLER_272_1746,VDD,Metal1,994.5600,1089.7600,4.999973
FILLER_272_1711,VDD,Metal1,975.9000,1089.3275,4.999973
FILLER_272_1699,VDD,Metal1,968.2400,1089.7600,4.999971
FILLER_272_1663,VDD,Metal1,948.0800,1089.7600,4.999971
FILLER_272_1635,VDD,Metal1,932.1200,1089.7600,4.999972
FILLER_272_1633,VDD,Metal1,931.2800,1089.7600,4.999972
FILLER_272_1625,VDD,Metal1,928.9865,1089.1830,4.999971
FILLER_272_1585,VDD,Metal1,904.4000,1089.7600,4.999968
FILLER_272_1507,VDD,Metal1,860.7200,1089.7600,4.999968
FILLER_272_1503,VDD,Metal1,858.4800,1089.7600,4.999968
FILLER_272_1364,VDD,Metal1,780.3600,1089.7600,4.999966
FILLER_272_1294,VDD,Metal1,741.1600,1089.7600,4.999965
FILLER_272_1285,VDD,Metal1,737.3400,1089.3275,4.999967
FILLER_272_1224,VDD,Metal1,701.9600,1089.7600,4.999967
FILLER_272_1222,VDD,Metal1,701.1200,1089.7600,4.999966
FILLER_272_1188,VDD,Metal1,681.8000,1089.7600,4.999966
FILLER_272_1186,VDD,Metal1,680.9600,1089.7600,4.999966
FILLER_272_1146,VDD,Metal1,659.5000,1089.3275,4.999967
FILLER_272_1115,VDD,Metal1,641.2000,1089.7600,4.999968
FILLER_272_1111,VDD,Metal1,639.9000,1089.3275,4.999968
FILLER_272_1087,VDD,Metal1,626.4600,1089.3275,4.999968
FILLER_272_1073,VDD,Metal1,617.6800,1089.7600,4.999967
FILLER_272_1043,VDD,Metal1,600.6000,1089.7600,4.999967
FILLER_272_1041,VDD,Metal1,599.7600,1089.7600,4.999967
FILLER_272_1022,VDD,Metal1,590.0600,1089.3275,4.999966
FILLER_272_1011,VDD,Metal1,583.9000,1089.3275,4.999966
FILLER_272_978,VDD,Metal1,565.4200,1089.3275,4.999967
FILLER_272_947,VDD,Metal1,547.1200,1089.7600,4.999966
FILLER_272_906,VDD,Metal1,523.8800,1089.7600,4.999966
FILLER_272_874,VDD,Metal1,505.9600,1089.7600,4.999967
FILLER_272_872,VDD,Metal1,505.1200,1089.7600,4.999968
FILLER_272_837,VDD,Metal1,485.2400,1089.7600,4.999968
FILLER_272_835,VDD,Metal1,484.4000,1089.7600,4.999969
FILLER_272_807,VDD,Metal1,468.4400,1089.7600,4.999971
FILLER_272_737,VDD,Metal1,429.5200,1089.7600,4.999966
FILLER_272_729,VDD,Metal1,424.7600,1089.7600,4.999966
FILLER_272_725,VDD,Metal1,423.7400,1089.3275,4.999966
FILLER_272_717,VDD,Metal1,420.5065,1089.1830,4.999966
FILLER_272_673,VDD,Metal1,393.4000,1089.7600,4.999966
FILLER_272_671,VDD,Metal1,392.5600,1089.7600,4.999966
FILLER_272_667,VDD,Metal1,391.2600,1089.3275,4.999966
FILLER_272_594,VDD,Metal1,349.1600,1089.7600,4.999964
FILLER_272_534,VDD,Metal1,315.5600,1089.7600,4.999964
FILLER_272_527,VDD,Metal1,311.6400,1089.7600,4.999958
FILLER_272_521,VDD,Metal1,309.5000,1089.3275,4.999958
FILLER_272_241,VDD,Metal1,152.7000,1089.3275,4.999973
FILLER_272_185,VDD,Metal1,120.1200,1089.7600,4.999975
FILLER_272_177,VDD,Metal1,118.1065,1089.1830,4.999975
FILLER_272_104,VDD,Metal1,74.7600,1089.7600,4.999977
FILLER_272_102,VDD,Metal1,73.9200,1089.7600,4.999977
FILLER_272_98,VDD,Metal1,72.6200,1089.3275,4.999977
FILLER_272_82,VDD,Metal1,67.2480,1089.0680,4.999977
FILLER_272_37,VDD,Metal1,37.5200,1089.7600,4.999979
FILLER_272_8,VDD,Metal1,21.0000,1089.7600,4.999980
FILLER_272_6,VDD,Metal1,20.1600,1089.7600,4.999980
FILLER_271_1921,VDD,Metal1,1092.2800,1081.9200,4.999969
FILLER_271_1919,VDD,Metal1,1091.4400,1081.9200,4.999969
FILLER_271_1889,VDD,Metal1,1074.3600,1081.9200,4.999969
FILLER_271_1831,VDD,Metal1,1042.1600,1081.9200,4.999968
FILLER_271_1827,VDD,Metal1,1040.8600,1082.3525,4.999968
FILLER_271_1812,VDD,Metal1,1032.4600,1082.3525,4.999968
FILLER_271_1744,VDD,Metal1,993.1600,1081.9200,4.999967
FILLER_271_1742,VDD,Metal1,992.3200,1081.9200,4.999967
FILLER_271_1674,VDD,Metal1,953.9600,1081.9200,4.999963
FILLER_271_1672,VDD,Metal1,953.1200,1081.9200,4.999963
FILLER_271_1656,VDD,Metal1,948.6880,1082.6120,4.999963
FILLER_271_1625,VDD,Metal1,926.8000,1081.9200,4.999960
FILLER_271_1612,VDD,Metal1,920.4600,1082.3525,4.999960
FILLER_271_1609,VDD,Metal1,917.5600,1081.9200,4.999959
FILLER_271_1607,VDD,Metal1,916.7200,1081.9200,4.999959
FILLER_271_1603,VDD,Metal1,915.4200,1082.3525,4.999959
FILLER_271_1595,VDD,Metal1,912.1865,1082.4965,4.999959
FILLER_271_1565,VDD,Metal1,892.9200,1081.9200,4.999954
FILLER_271_1559,VDD,Metal1,889.8400,1081.9200,4.999945
FILLER_271_1550,VDD,Metal1,885.7400,1082.3525,4.999945
FILLER_271_1542,VDD,Metal1,882.5065,1082.4965,4.999945
FILLER_271_1495,VDD,Metal1,853.7200,1081.9200,4.999937
FILLER_271_1493,VDD,Metal1,852.8800,1081.9200,4.999937
FILLER_271_1487,VDD,Metal1,849.2400,1081.9200,4.999935
FILLER_271_1454,VDD,Metal1,830.7600,1081.9200,4.999935
FILLER_271_1337,VDD,Metal1,765.2400,1081.9200,4.999954
FILLER_271_1329,VDD,Metal1,760.7600,1081.9200,4.999954
FILLER_271_1327,VDD,Metal1,759.9200,1081.9200,4.999954
FILLER_271_1264,VDD,Metal1,724.3600,1081.9200,4.999954
FILLER_271_1262,VDD,Metal1,723.5200,1081.9200,4.999954
FILLER_271_1229,VDD,Metal1,704.7600,1081.9200,4.999954
FILLER_271_1225,VDD,Metal1,703.7400,1082.3525,4.999954
FILLER_271_1217,VDD,Metal1,700.5065,1082.4965,4.999954
FILLER_271_1134,VDD,Metal1,651.8400,1081.9200,4.999952
FILLER_271_1127,VDD,Metal1,647.9200,1081.9200,4.999952
