Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_273_1911,VSS,Metal1,1086.9600,1093.6800,0.000000
FILLER_273_1835,VSS,Metal1,1044.1200,1093.6800,0.000001
FILLER_273_1833,VSS,Metal1,1043.2800,1093.6800,0.000001
FILLER_273_1804,VSS,Metal1,1027.0400,1093.6800,0.000001
FILLER_273_1774,VSS,Metal1,1009.9600,1093.6800,0.000001
FILLER_273_1767,VSS,Metal1,1006.0400,1093.6800,0.000001
FILLER_273_1765,VSS,Metal1,1005.2000,1093.6800,0.000001
FILLER_273_1741,VSS,Metal1,991.9400,1093.3310,0.000002
FILLER_273_1706,VSS,Metal1,971.8800,1093.6800,0.000002
FILLER_273_1702,VSS,Metal1,970.1000,1093.3310,0.000002
FILLER_273_1695,VSS,Metal1,965.7200,1093.6800,0.000002
FILLER_273_1665,VSS,Metal1,948.9200,1093.6800,0.000003
FILLER_273_1661,VSS,Metal1,947.1400,1093.3310,0.000003
FILLER_273_1627,VSS,Metal1,927.6400,1093.6800,0.000004
FILLER_273_1597,VSS,Metal1,910.8400,1093.6800,0.000005
FILLER_273_1563,VSS,Metal1,891.8000,1093.6800,0.000006
FILLER_273_1532,VSS,Metal1,874.9000,1093.3310,0.000007
FILLER_273_1514,VSS,Metal1,867.9520,1093.1320,0.000007
FILLER_273_1503,VSS,Metal1,858.4800,1093.6800,0.000008
FILLER_273_1495,VSS,Metal1,853.7200,1093.6800,0.000010
FILLER_273_1464,VSS,Metal1,836.6400,1093.6800,0.000011
FILLER_273_1461,VSS,Metal1,834.6800,1093.6800,0.000011
FILLER_273_1459,VSS,Metal1,833.8400,1093.6800,0.000011
FILLER_273_1398,VSS,Metal1,799.4000,1093.6800,0.000007
FILLER_273_1396,VSS,Metal1,798.5600,1093.6800,0.000007
FILLER_273_1393,VSS,Metal1,796.6000,1093.6800,0.000006
FILLER_273_1362,VSS,Metal1,779.2400,1093.6800,0.000005
FILLER_273_1343,VSS,Metal1,768.8800,1093.6800,0.000004
FILLER_273_1311,VSS,Metal1,750.6800,1093.6800,0.000004
FILLER_273_1309,VSS,Metal1,749.8400,1093.6800,0.000004
FILLER_273_1275,VSS,Metal1,730.5200,1093.6800,0.000003
FILLER_273_1240,VSS,Metal1,712.3730,1093.2180,0.000002
FILLER_273_1234,VSS,Metal1,707.5600,1093.6800,0.000002
FILLER_273_1223,VSS,Metal1,701.4000,1093.6800,0.000002
FILLER_273_1221,VSS,Metal1,700.5600,1093.6800,0.000002
FILLER_273_1208,VSS,Metal1,693.0000,1093.6800,0.000002
FILLER_273_1192,VSS,Metal1,687.6320,1093.1320,0.000002
FILLER_273_1189,VSS,Metal1,682.3600,1093.6800,0.000002
FILLER_273_1182,VSS,Metal1,678.7200,1093.6800,0.000002
FILLER_273_1174,VSS,Metal1,675.4130,1093.2180,0.000002
FILLER_273_1158,VSS,Metal1,668.5920,1093.1320,0.000002
FILLER_273_1155,VSS,Metal1,663.3200,1093.6800,0.000002
FILLER_273_1153,VSS,Metal1,662.4800,1093.6800,0.000002
