net,length_um
clknet_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,1.42504mm
net1278,1.29838mm
clk_i,1.22106mm
clknet_0_clk_i_regs,1.03156mm
clknet_0_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,968.53µm
_24202_,966.82µm
_24219_,957.46µm
_24117_,932.29µm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,925.47µm
_24194_,879.04µm
_05660_,851.88µm
net3,840µm
i_core_v_mini_mcu.peripheral_subsystem_clkgate_en_n,816.68µm
_06004_,804.97µm
net431,800.13µm
_24151_,794.02µm
net459,793.06µm
_05609_,783.53µm
net449,779.82µm
_24225_,777.12µm
net1318,776.77µm
_22991_,776.61µm
_24232_,764.16µm
net1277,763.58µm
net471,762.41µm
_24165_,755.89µm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,754.01µm
_06402_,751.19µm
net438,750.75µm
net472,746.78µm
_24196_,745.81µm
net432,742.86µm
_10555_,739.54µm
_05608_,736.14µm
_10387_,727.18µm
_24941_,720.76µm
net1109,717.46µm
_24175_,714.02µm
_24896_,705.69µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.peripheral_subsystem_rst_n,704.12µm
_24907_,697.7µm
_10547_,697.5µm
_24104_,696.62µm
net470,693.45µm
_24207_,690.98µm
net1282,687.78µm
net815,686.19µm
_24110_,681.31µm
_10545_,680.09µm
_05956_,674.49µm
_24086_,672.3µm
net415,665.02µm
net684,663.95µm
_10564_,662.17µm
_24322_,660.54µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.power_manager_i.cpu_subsystem_rst_n,660.49µm
net414,657µm
_10549_,651.58µm
_18931_,648.57µm
_14312_,647.32µm
_26265_,643.23µm
_24114_,638.95µm
net623,633µm
_24204_,632.46µm
_24734_,628.62µm
_10567_,628.47µm
net475,625.67µm
_13928_,621.09µm
_24350_,620.69µm
_05606_,619.48µm
net946,617.32µm
net504,616.91µm
net318,616.21µm
net584,616.2µm
_24100_,615.89µm
net836,614.78µm
net398,614.37µm
net628,609.48µm
net808,608.82µm
_24838_,608µm
net481,607.14µm
_26331_,606.83µm
net860,603.44µm
_24094_,602.6µm
net877,602.15µm
net531,601.08µm
net416,598.43µm
net709,597.92µm
net967,597.82µm
net834,597.36µm
net624,597.26µm
net823,596.14µm
net920,595.99µm
net911,595.68µm
net737,594.56µm
net626,594.41µm
net669,594.36µm
_10558_,593.9µm
net647,593.34µm
_10585_,592.59µm
net599,592.5µm
net579,591.91µm
net863,591.15µm
net688,590.08µm
net761,589.37µm
net606,586.95µm
net673,586.67µm
net562,586.11µm
_05695_,585.5µm
_23215_,585.35µm
net750,585.17µm
_10531_,584.94µm
net516,584.64µm
_23006_,583.92µm
_26016_,583.26µm
_18673_,582.5µm
net869,582.07µm
net476,581.58µm
net859,581.22µm
net887,579.85µm
net867,579.22µm
net880,578.47µm
net857,577.76µm
net838,577.25µm
net588,576.9µm
net532,576.59µm
net555,576.26µm
_24222_,576.03µm
net754,575.59µm
net861,575.42µm
_05908_,574.86µm
_10538_,574.81µm
net357,574.35µm
net294,573.43µm
_10365_,573.29µm
net350,572.67µm
net590,571.96µm
_26429_,571.75µm
net841,570.38µm
net453,569.46µm
_12462_,569.26µm
net680,569.26µm
net376,568.9µm
_12669_,568.75µm
net812,568.7µm
net800,568.68µm
net781,567.6µm
net368,567.53µm
net556,567.14µm
net417,566.52µm
_04634_,566.41µm
net656,566.31µm
net692,565.85µm
net811,565.85µm
net348,565.72µm
net821,565.58µm
net452,565.19µm
net764,565.19µm
net572,563.93µm
net883,563.25µm
net802,561.47µm
net309,561.34µm
net865,561.16µm
_25001_,561.14µm
net518,561.12µm
net322,560.76µm
net499,560.15µm
net493,560.1µm
net682,559.11µm
net635,558.88µm
net801,558.21µm
net660,558.01µm
net286,557.09µm
net310,557.08µm
net317,556.82µm
net791,556.78µm
net683,556.48µm
_24586_,555.87µm
net567,555.6µm
_05916_,555.36µm
net881,555.36µm
net630,554.89µm
net776,554.14µm
net810,554.14µm
net652,554.09µm
net489,553.58µm
_24161_,553.45µm
net615,553.02µm
net586,552.81µm
