Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_274_1884,VDD,Metal1,1071.8400,1097.6000,4.999992
FILLER_274_1880,VDD,Metal1,1070.5400,1097.1675,4.999992
FILLER_274_1872,VDD,Metal1,1067.3065,1097.0230,4.999992
FILLER_274_1869,VDD,Metal1,1063.1600,1097.6000,4.999992
FILLER_274_1867,VDD,Metal1,1062.3200,1097.6000,4.999991
FILLER_274_1835,VDD,Metal1,1044.1200,1097.6000,4.999992
FILLER_274_1833,VDD,Metal1,1043.2800,1097.6000,4.999992
FILLER_274_1800,VDD,Metal1,1024.8000,1097.6000,4.999993
FILLER_274_1792,VDD,Metal1,1022.5065,1097.0230,4.999993
FILLER_274_1786,VDD,Metal1,1016.6800,1097.6000,4.999994
FILLER_274_1770,VDD,Metal1,1012.5280,1096.9080,4.999994
FILLER_274_1761,VDD,Metal1,1002.9600,1097.6000,4.999994
FILLER_274_1757,VDD,Metal1,1001.6600,1097.1675,4.999994
FILLER_274_1741,VDD,Metal1,996.2880,1096.9080,4.999994
FILLER_274_1725,VDD,Metal1,982.5200,1097.6000,4.999995
FILLER_274_1723,VDD,Metal1,981.6800,1097.6000,4.999995
FILLER_274_1707,VDD,Metal1,977.2480,1096.9080,4.999995
FILLER_274_1699,VDD,Metal1,967.9600,1097.6000,4.999995
FILLER_274_1690,VDD,Metal1,962.9200,1097.6000,4.999995
FILLER_274_1688,VDD,Metal1,962.0800,1097.6000,4.999995
FILLER_274_1684,VDD,Metal1,960.7800,1097.1675,4.999995
FILLER_274_1668,VDD,Metal1,955.4080,1096.9080,4.999995
FILLER_274_1665,VDD,Metal1,948.9200,1097.6000,4.999996
FILLER_274_1663,VDD,Metal1,948.0800,1097.6000,4.999996
FILLER_274_1659,VDD,Metal1,946.7800,1097.1675,4.999996
FILLER_274_1643,VDD,Metal1,941.4080,1096.9080,4.999996
FILLER_274_1634,VDD,Metal1,931.5600,1097.6000,4.999996
FILLER_274_1630,VDD,Metal1,929.6000,1097.6000,4.999996
FILLER_274_1622,VDD,Metal1,927.3065,1097.0230,4.999996
FILLER_274_1616,VDD,Metal1,921.4800,1097.6000,4.999996
FILLER_274_1600,VDD,Metal1,917.3280,1096.9080,4.999996
FILLER_274_1597,VDD,Metal1,910.8400,1097.6000,4.999996
FILLER_274_1595,VDD,Metal1,910.0000,1097.6000,4.999996
FILLER_274_1591,VDD,Metal1,908.7000,1097.1675,4.999996
FILLER_274_1577,VDD,Metal1,899.6400,1097.6000,4.999996
FILLER_274_1575,VDD,Metal1,898.8000,1097.6000,4.999996
FILLER_274_1571,VDD,Metal1,897.5000,1097.1675,4.999996
FILLER_274_1562,VDD,Metal1,891.5200,1097.6000,4.999996
FILLER_274_1552,VDD,Metal1,885.9200,1097.6000,4.999996
FILLER_274_1548,VDD,Metal1,884.6200,1097.1675,4.999996
FILLER_274_1532,VDD,Metal1,879.2480,1096.9080,4.999996
FILLER_274_1500,VDD,Metal1,856.5200,1097.6000,4.999996
FILLER_274_1498,VDD,Metal1,855.6800,1097.6000,4.999996
FILLER_274_1472,VDD,Metal1,845.6480,1096.9080,4.999996
FILLER_274_1458,VDD,Metal1,834.2200,1097.1675,4.999996
FILLER_274_1450,VDD,Metal1,830.9865,1097.0230,4.999996
FILLER_274_1444,VDD,Metal1,825.1600,1097.6000,4.999996
FILLER_274_1442,VDD,Metal1,824.3200,1097.6000,4.999996
FILLER_274_1438,VDD,Metal1,823.0200,1097.1675,4.999996
FILLER_274_1430,VDD,Metal1,819.7865,1097.0230,4.999996
