net,length_um
clknet_0_clk_i_regs,1.87378mm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,1.69383mm
clknet_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,1.45293mm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,1.3167mm
clk_i,1.17983mm
net1285,988.39µm
net1957,967.98µm
net867,893.65µm
net1338,866.77µm
net1292,848.32µm
net1013,828.4µm
net1260,821.77µm
net1257,818.71µm
_24359_,816.09µm
net1262,813.15µm
net281,796.57µm
net106,788.47µm
net1258,777.78µm
net860,777.63µm
net1804,750.03µm
net1505,728.25µm
net1872,718.78µm
_25174_,710.17µm
net193,693.82µm
_12468_,693.12µm
net1620,690.89µm
net876,689.66µm
_05971_,686.72µm
_24365_,686.52µm
_23256_,686.4µm
net1423,686.22µm
net1245,685.59µm
net803,682.33µm
net1327,681.34µm
net1231,680.6µm
net1246,678.61µm
net1247,675.02µm
net1291,670.93µm
net1273,669.5µm
net802,668.23µm
_25161_,667.86µm
net786,666.62µm
net869,663.85µm
net1109,659.37µm
net1497,658.4µm
net866,657.95µm
net1431,656.72µm
net1435,654.21µm
net1229,651.81µm
net868,651.73µm
net783,651.68µm
net1334,650.05µm
net788,649.35µm
net1439,647.81µm
net1289,646.59µm
net980,646.44µm
net1054,643.74µm
_24442_,643.27µm
net1454,642.06µm
net1507,641.96µm
net1471,639.82µm
net1502,636.41µm
net1288,635.89µm
net1961,634.02µm
net1218,631.37µm
net1227,630.55µm
_26430_,629.09µm
net1560,628.87µm
_26719_,628.16µm
_12666_,628.06µm
net1294,626.79µm
net751,626.48µm
net1325,626.27µm
net1500,626.05µm
_23261_,624.19µm
net1337,624.04µm
net1561,624.01µm
net789,623.99µm
net782,623.98µm
net1512,623.12µm
net1410,622.51µm
net156,621.76µm
net1132,619.46µm
net792,618.75µm
_24364_,618.08µm
net1504,617.98µm
net1407,616.68µm
net752,615.62µm
net1207,615.28µm
net1209,614.95µm
net1296,613.35µm
net1969,613.25µm
net790,613.1µm
net1105,613.02µm
net753,612.75µm
net1241,612.75µm
net1293,612.35µm
_24705_,612.23µm
i_core_v_mini_mcu.memory_subsystem_clkgate_en_n,612.18µm
net1274,611.82µm
net756,611.36µm
net1475,610.24µm
net1270,608.66µm
net1235,608.46µm
_18981_,607.87µm
net1330,607.8µm
net1120,607.29µm
net1112,606.48µm
net1408,606.17µm
_10953_,605.61µm
net1309,605.61µm
net370,605.49µm
_12449_,605.42µm
net192,605.07µm
net518,605.02µm
net1210,604.81µm
net1508,604.78µm
net920,604.54µm
net1232,604.5µm
_10944_,603.43µm
net1428,603.37µm
net777,603.32µm
net1131,603.32µm
net1963,603.22µm
net793,603.01µm
net785,602.71µm
_26354_,601.42µm
net744,601.04µm
_12451_,600.89µm
net1331,600.72µm
net1451,600.47µm
_10752_,600.08µm
net919,599.67µm
net918,598.38µm
net748,597.8µm
net1960,597.67µm
net295,597.26µm
net1432,596.7µm
clknet_1_0__leaf_clk_i,596.5µm
net757,596.32µm
net1117,596.09µm
net161,595.89µm
net454,595.22µm
net1264,595.02µm
net1326,593.45µm
_25679_,592.32µm
net1464,592.24µm
net1098,591.46µm
net1317,591.39µm
net749,591.1µm
net818,590.54µm
_25481_,590.04µm
net878,589.14µm
net1222,588.26µm
_24407_,588.25µm
net1405,587.88µm
_12520_,587.28µm
net1215,586.77µm
net1269,584.98µm
net1225,584.96µm
net1301,584.48µm
net1313,584.33µm
net1474,583.82µm
net1204,583.77µm
_12630_,583.26µm
_12646_,582.46µm
net896,581.7µm
_12414_,581.3µm
net787,579.69µm
_24438_,578.69µm
_10919_,578.68µm
_12435_,577.66µm
net1723,577.61µm
net901,576.55µm
net791,576.37µm
net1958,575.32µm
_24433_,574.96µm
net1108,574.81µm
_19755_,574.61µm
net747,574.1µm
net1433,573.28µm
net1415,573.18µm
_12882_,573.05µm
_19837_,572.45µm
net1297,572.01µm
net1323,571.7µm
net267,570.48µm
net834,569.92µm
net1287,569.92µm
_26367_,569.46µm
net1670,569.31µm
_12405_,567.58µm
net779,567.12µm
net1250,566.97µm
net1263,566.69µm
net997,566.07µm
net1123,566µm
net1208,565.34µm
net1242,564.68µm
net1503,564.49µm
net301,562.09µm
_11543_,561.83µm
_10915_,561.8µm
_24420_,560.7µm
_10923_,559.89µm
net1458,559.28µm
net928,558.82µm
_19878_,558.37µm
net1310,558.08µm
net1226,557.59µm
net369,556.33µm
_10658_,556.12µm
net1403,555.06µm
_11511_,554.09µm
_12620_,553.63µm
net1429,553.27µm
_10750_,553.02µm
net1959,553.02µm
net1236,552.67µm
net194,552.6µm
_12408_,551.9µm
net1233,551.8µm
net917,551.69µm
net1244,551.39µm
_14479_,550.83µm
net1422,550.65µm
_12518_,549µm
net372,547.27µm
net750,546.71µm
net1467,545.84µm
net371,545.29µm
_24490_,544.72µm
_12660_,544.57µm
_26550_,544.31µm
_12477_,543.86µm
net1099,543.04µm
_04634_,542.47µm
_24488_,541.05µm
net1495,540.85µm
net1606,540.81µm
net1130,539.02µm
net960,538.46µm
net1312,538.46µm
net1320,537.34µm
_11486_,537.19µm
_14031_,536.48µm
net943,536.07µm
_12670_,535.66µm
net1398,535.1µm
spi_flash_sd_io[2],534.91µm
_19590_,534.43µm
net1319,533.88µm
net1214,533.44µm
net892,532.25µm
net754,531.64µm
spi_flash_sd_io[1],531.35µm
net903,531.13µm
net1240,530.92µm
_14452_,530.89µm
_19144_,530.76µm
net970,530.52µm
_24717_,530.16µm
_10725_,529.69µm
_12681_,529.65µm
net796,529.4µm
_10606_,528.84µm
net1211,528.53µm
net758,527.34µm
_24884_,527.15µm
net1559,527.15µm
net1460,527.07µm
net1402,526.85µm
net784,526.65µm
net1341,526.6µm
_18939_,526.19µm
_10933_,525.78µm
net1228,525.73µm
_11149_,525.48µm
_12648_,525.12µm
net1116,525.07µm
net1489,524.31µm
_10718_,524.15µm
net1328,523.95µm
net934,523.7µm
_24373_,523.21µm
net1295,523.04µm
net1286,521.76µm
net160,521.6µm
_10749_,520.24µm
_12633_,519.58µm
net1284,519.17µm
_24421_,519.14µm
net1097,518.71µm
net872,517.54µm
_10942_,517.38µm
_12367_,516.52µm
_12527_,516.09µm
_12395_,515.81µm
_13164_,515.4µm
net1344,515.4µm
_10962_,515.07µm
net405,514.84µm
net907,514.28µm
net965,513.67µm
_16926_,513.21µm
net956,512.77µm
net1191,511.58µm
_12849_,511.57µm
net1641,510.97µm
net1401,510.89µm
_12693_,510.36µm
net1463,510.03µm
net1314,509.8µm
_18938_,509.29µm
net874,509.19µm
net1522,508.88µm
net873,508.63µm
net895,508.58µm
_12469_,508.48µm
spi_flash_sd_io[3],508.44µm
net855,508.42µm
net1321,508.37µm
net1318,508.27µm
_12610_,508.22µm
net1565,508.12µm
net191,507.05µm
net1121,505.98µm
_04631_,505.83µm
net1490,505.71µm
net1111,505.5µm
_12582_,505.37µm
_12534_,504.81µm
net1839,504.81µm
net973,504.3µm
net1118,503.64µm
net1261,502.11µm
_12377_,501.96µm
net1249,501.82µm
_12409_,501.7µm
_13233_,501.6µm
_10938_,501.4µm
spi_flash_sd_io[0],501.16µm
net1501,501.15µm
_12557_,501.14µm
_12573_,500.38µm
net1455,500.16µm
_12465_,499.26µm
