net,length_um
clknet_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,1.66896mm
clk_i,1.26804mm
net1905,1.08609mm
clknet_0_clk_i_regs,1.0482mm
clknet_0_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,945.78µm
net1928,934.93µm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,900.58µm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,881.38µm
net861,837.05µm
net1149,835.08µm
net1906,834.96µm
_05660_,828.38µm
_06162_,827.27µm
net849,813.52µm
_06004_,806.62µm
net2082,787.41µm
_22991_,784.04µm
_24232_,781.55µm
_06402_,779.89µm
_24941_,777.77µm
_24896_,775.24µm
_24225_,770.6µm
_24907_,764.7µm
net827,756.8µm
_05609_,753.92µm
net910,747.8µm
_24110_,746.88µm
net905,743.98µm
_24175_,741.76µm
net909,739.91µm
_24165_,737.61µm
_05608_,732.57µm
_24204_,731.09µm
_24207_,722.24µm
net887,720.36µm
net1568,717.97µm
_24104_,714.04µm
net818,693.48µm
_06061_,692.92µm
_24322_,692.91µm
net1465,692.03µm
net1101,684.16µm
net1336,681.6µm
net1914,678.26µm
_13919_,676.12µm
_06047_,671.38µm
net1365,665.94µm
net1404,663.19µm
net1119,657.67µm
net1204,652.75µm
_06074_,647.15µm
_24350_,645.93µm
net1114,645.65µm
net1372,645.24µm
net1402,643.5µm
net1470,642.47µm
net1154,640.19µm
_24114_,639.17µm
net1311,635.49µm
net1223,634.95µm
net1334,633.51µm
_12441_,633.46µm
net1316,632.33µm
_05606_,632.13µm
net1107,630.76µm
net866,630.35µm
net1364,630.25µm
_24838_,630.14µm
net1148,629.54µm
net1430,627.6µm
net1096,627.45µm
net703,627.23µm
net183,626.43µm
net829,626.28µm
net1104,624.83µm
net1156,621.34µm
net1112,620.53µm
net2081,620.17µm
_24734_,619.61µm
net899,619.46µm
net1082,619.43µm
net1202,617.67µm
net1307,616.13µm
net1426,615.99µm
_18931_,615.23µm
net1115,614.71µm
net764,613.6µm
net1127,612.94µm
net701,611.7µm
net667,611.11µm
net1123,609.87µm
net1081,608.72µm
_24100_,608.56µm
net1347,607.62µm
net1143,606.02µm
_24149_,605.25µm
net908,604.93µm
net1118,604.88µm
net1357,604.13µm
net1406,603.47µm
net907,603.37µm
net1414,602.81µm
