net,length_um
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,1.6261mm
clknet_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,1.58265mm
clknet_0_clk_i_regs,1.56513mm
clknet_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,1.44602mm
_14076_,1.14728mm
_05809_,1.03431mm
clk_i,935.26µm
_24405_,917.83µm
_05627_,831.24µm
_24382_,819.63µm
_24402_,805.14µm
net768,803.74µm
net759,775.63µm
net452,717.8µm
_17702_,713.79µm
_24448_,713.43µm
_24529_,712.57µm
net470,703.36µm
net465,702.58µm
net1045,701.22µm
net1208,692.41µm
net770,691.84µm
_24381_,666.24µm
clknet_4_0_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,663.85µm
_24496_,663.44µm
_24435_,662.27µm
net572,655.41µm
net674,654.22µm
net1204,652.06µm
_24409_,648.68µm
_18954_,648.17µm
_23281_,638.75µm
net644,638.58µm
net365,636.08µm
net796,632.75µm
net215,632.64µm
net961,630.86µm
net363,629.69µm
net495,629.53µm
net1673,629.44µm
net761,627.38µm
_25902_,627.35µm
net526,624.65µm
_04632_,622.84µm
net645,620.92µm
net617,620.53µm
net525,619.61µm
net818,619.41µm
net657,618.44µm
net392,617.98µm
_24455_,616.6µm
_24442_,615.32µm
net471,613.91µm
clknet_1_1__leaf_clk_i,612.84µm
net517,609.15µm
net816,607.85µm
net538,607.44µm
net659,607.22µm
_24454_,605.76µm
net1851,605.51µm
net367,605.21µm
net695,604.44µm
net751,602.86µm
net397,602.81µm
net501,602.81µm
net391,601.74µm
_24399_,601.35µm
net504,600.57µm
_25191_,600.52µm
_19015_,600.11µm
net1795,598.64µm
_19009_,598.53µm
net618,597.9µm
net664,596.65µm
net474,595.68µm
net680,595.58µm
_06404_,595.02µm
net453,594.63µm
net803,594.51µm
_18950_,592.88µm
_24458_,592.78µm
net711,592.62µm
net656,591.87µm
net605,591.61µm
net6,591.15µm
net793,591.05µm
net286,590.62µm
net520,590.49µm
net1818,588.98µm
net569,588.86µm
net218,588.3µm
net1842,587.13µm
net103,586.93µm
net720,585.75µm
net802,585.27µm
net725,584.5µm
net778,583.36µm
net691,583.26µm
net654,582.77µm
net545,581.96µm
_04634_,581.53µm
net1209,581.53µm
net442,581.48µm
net715,580.45µm
net563,580.05µm
net589,579.85µm
net1812,579.72µm
net524,579.3µm
net393,578.88µm
_18952_,578.83µm
net602,578.76µm
net598,578.73µm
net508,578.37µm
net763,577.83µm
net475,577.56µm
net1207,577.41µm
net794,576.61µm
net667,575.04µm
net361,574.87µm
net527,574.76µm
net1796,574.56µm
_24406_,574.45µm
net359,573.76µm
net786,573.6µm
_05548_,573.28µm
net556,573.23µm
net368,572.52µm
net1205,572.2µm
net1307,571.78µm
net357,571.74µm
net762,571.66µm
net800,571.35µm
net542,571.2µm
_18956_,570.94µm
net766,570.7µm
net458,570.57µm
net747,570.23µm
_19779_,569.21µm
net780,568.75µm
net463,568.47µm
_10550_,568.24µm
net575,568.05µm
net758,567.53µm
net603,567.12µm
net289,566.35µm
net383,565.9µm
net577,565.29µm
net531,564.94µm
net811,564.88µm
_24422_,564.19µm
net500,563.89µm
net536,563.82µm
net727,563.59µm
net1046,563.51µm
net541,563.44µm
net457,563.3µm
net769,563µm
net718,562.44µm
net588,561.98µm
net200,560.86µm
_14152_,560.76µm
net669,560.76µm
net797,560.64µm
net451,559.8µm
net604,559.74µm
net609,559.68µm
net750,559.33µm
net486,558.41µm
net41,558.06µm
net773,557.65µm
net612,557.51µm
net767,556.44µm
clknet_0_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,556.43µm
_25989_,556.38µm
net675,555.82µm
_24410_,554.6µm
net534,554.38µm
